StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1073,15,Male,African American,High School,3.25805309,8,No,Moderate,Yes,Yes,No,No,2.556801663,2
1074,16,Male,Caucasian,Bachelor's,16.24827315,4,Yes,Moderate,No,No,No,No,3.300928569,1
1075,15,Female,Caucasian,Bachelor's,17.06791467,14,No,High,Yes,No,Yes,No,2.200682947,3
1076,16,Male,Caucasian,Bachelor's,18.28680885,17,No,High,No,Yes,No,No,1.855865573,4
1077,18,Male,Caucasian,Some College,5.305701782,3,No,High,No,No,No,No,2.734401494,2
1078,18,Female,African American,Bachelor's,18.0790613,18,Yes,Low,Yes,Yes,No,No,2.131737297,3
1079,17,Female,Caucasian,None,6.413255095,19,No,Low,No,No,No,No,0.979769911,4
1080,18,Female,Other,High School,11.04676027,25,No,High,No,Yes,No,No,0.994325024,4
1081,17,Male,Other,High School,1.010149417,6,No,Low,No,Yes,No,No,2.074699977,3
1082,18,Female,Asian,Some College,0.877621767,25,No,Moderate,No,No,No,No,0.500508036,4
1083,15,Female,African American,High School,14.40746425,7,No,None,Yes,Yes,No,No,2.532438418,2
1084,18,Male,Asian,High School,8.88959956,16,No,Low,No,Yes,No,No,1.463378036,4
1085,17,Female,Caucasian,Some College,5.125847507,12,No,High,Yes,Yes,No,No,2.342836773,3
1086,17,Female,Asian,Bachelor's,3.80826992,23,No,High,No,No,No,No,1.158846334,4
1087,16,Female,Caucasian,High School,13.39906982,20,Yes,Low,Yes,No,Yes,Yes,1.523748745,4
1088,15,Male,Asian,High School,0.008030881,27,No,Low,No,No,Yes,No,0,4
1089,18,Male,Caucasian,High School,16.11782338,22,No,None,Yes,No,Yes,No,1.058622014,4
1090,16,Male,Asian,High School,1.584992123,10,No,Moderate,No,No,Yes,Yes,2.229740184,3
1091,18,Male,Other,High School,3.829792298,26,No,Low,No,No,No,Yes,0.194743281,4
1092,18,Female,Caucasian,Some College,7.724727906,0,No,Moderate,Yes,Yes,No,No,3.506920071,0
1093,16,Male,Caucasian,Some College,9.697174794,1,Yes,High,No,No,No,No,3.552286943,0
1094,16,Male,Other,Some College,7.099902316,16,Yes,High,No,Yes,No,No,2.238491354,3
1095,16,Female,Caucasian,High School,6.4142433,4,No,Low,Yes,Yes,No,No,2.708472344,2
1096,16,Female,Asian,Bachelor's,19.27832024,29,No,High,No,No,No,Yes,0.732908234,4
1097,16,Female,African American,High School,12.83159362,29,No,Very High,No,No,Yes,No,0.965482445,4
1098,18,Male,Caucasian,Some College,0.468659107,5,No,Moderate,No,Yes,No,No,2.55523286,2
1099,16,Male,Caucasian,Bachelor's,8.603518169,25,No,Moderate,Yes,No,Yes,Yes,0.7443223,4
1100,15,Male,Caucasian,High School,17.50017399,24,No,Moderate,No,No,No,No,0.722056581,4
1101,17,Female,Asian,High School,6.029123728,23,Yes,Low,Yes,Yes,No,Yes,1.27122953,4
1102,16,Female,Caucasian,Bachelor's,1.891126895,6,No,High,Yes,No,Yes,Yes,2.526142141,2
1103,16,Male,African American,High School,15.16769543,27,No,High,Yes,Yes,No,No,0.942415395,4
1104,18,Female,Caucasian,Some College,12.12027664,20,Yes,Moderate,No,Yes,No,No,1.515639098,4
1105,16,Female,African American,None,11.40625016,29,No,High,Yes,No,No,No,0.648273927,4
1106,16,Female,Asian,Some College,1.071531192,14,No,High,No,Yes,Yes,Yes,2.048850082,3
1107,16,Male,Other,High School,2.809980196,18,No,None,Yes,No,No,Yes,0.842295999,4
1108,18,Female,Caucasian,None,12.45098792,15,No,Low,No,Yes,No,No,1.464187924,4
1109,16,Female,Asian,Some College,4.156476829,24,Yes,High,Yes,Yes,No,No,1.487946865,4
1110,17,Male,Asian,High School,10.08140159,12,Yes,Very High,No,No,No,No,2.587565796,2
1111,18,Male,African American,High School,10.89763372,4,Yes,High,No,No,No,No,3.220806978,1
1112,17,Female,Other,None,5.670143805,2,Yes,Very High,No,No,Yes,No,3.545159432,0
1113,18,Female,Caucasian,High School,18.96850311,2,No,Moderate,No,No,No,No,3.089598953,1
1114,16,Male,Caucasian,High School,16.84928214,18,Yes,Low,No,Yes,Yes,No,1.91995644,4
1115,17,Male,Asian,None,14.44747015,13,Yes,Moderate,No,No,No,No,2.198593185,3
1116,18,Female,Caucasian,Bachelor's,1.559877328,15,No,None,No,No,No,Yes,0.878212617,4
1117,15,Female,Asian,None,2.122600386,21,No,High,Yes,No,Yes,No,1.340368648,4
1118,16,Female,Asian,Some College,9.855626917,16,No,Very High,No,No,No,No,1.819511336,4
1119,18,Female,Caucasian,High School,3.214266984,26,No,High,No,Yes,No,No,0.619350931,4
1120,15,Male,Asian,High School,19.56530927,3,No,Moderate,Yes,No,Yes,Yes,3.61946087,0
1121,18,Female,Caucasian,Bachelor's,3.170404681,12,Yes,Low,Yes,Yes,No,No,2.174902796,3
1122,15,Female,African American,High School,9.749356709,7,Yes,Low,No,Yes,Yes,No,2.974406015,2
1123,16,Male,African American,Higher,7.282421137,18,No,Moderate,No,No,No,No,0.980735844,4
1124,17,Female,Other,High School,12.78772843,4,No,High,No,No,No,No,3.101673809,1
1125,15,Male,Caucasian,Some College,2.580728178,1,Yes,Moderate,Yes,No,Yes,No,3.498257342,1
1126,18,Female,Caucasian,Some College,8.606328561,14,No,Very High,Yes,No,No,No,2.590553445,2
1127,16,Female,African American,Bachelor's,5.494100656,1,No,High,Yes,No,No,No,3.535003758,0
1128,15,Male,Asian,Some College,17.75503049,10,Yes,Low,No,Yes,No,No,2.819921745,2
1129,18,Male,African American,Some College,0.811714243,12,Yes,Low,Yes,Yes,No,No,2.016596775,3
1130,18,Female,Caucasian,High School,18.27454988,22,Yes,High,No,No,No,No,1.371185039,4
1131,18,Female,Caucasian,High School,16.65988277,9,No,Low,No,No,No,No,2.104795588,3
1132,15,Female,Caucasian,Bachelor's,5.951414329,2,No,High,No,No,No,No,3.030439089,1
1133,15,Male,Asian,High School,15.78581309,4,Yes,Moderate,No,Yes,No,No,3.582421872,0
1134,15,Female,Caucasian,High School,0.624271207,2,No,Low,Yes,No,No,No,2.426546706,3
1135,17,Male,Caucasian,Some College,19.33731101,5,Yes,Moderate,Yes,No,No,No,3.16143627,1
1136,15,Male,Other,High School,10.53189885,12,No,Moderate,Yes,No,No,No,2.12263853,3
1137,15,Female,Caucasian,Higher,6.065620521,9,No,High,No,Yes,No,No,2.204860581,3
1138,15,Male,Other,Some College,7.251664252,18,No,None,Yes,No,Yes,Yes,1.1829875,4
1139,17,Female,African American,Some College,1.328107069,7,No,High,Yes,No,No,No,2.738795716,2
1140,15,Female,Asian,Bachelor's,19.78699028,17,Yes,High,No,No,No,No,2.237901301,3
1141,18,Female,Caucasian,None,0.785838903,2,No,High,Yes,No,No,No,3.139481546,1
1142,15,Female,Caucasian,High School,13.09814246,23,Yes,None,Yes,Yes,No,No,1.046044771,4
1143,18,Female,Asian,Some College,8.854718554,23,Yes,High,No,No,No,No,0.816458245,4
1144,18,Male,Asian,High School,18.97832436,16,No,Moderate,Yes,No,Yes,No,2.033544621,3
1145,18,Male,Asian,Some College,4.919994806,7,Yes,Moderate,Yes,Yes,No,No,2.432078523,3
1146,17,Female,Caucasian,Bachelor's,10.64173648,9,No,High,Yes,No,No,No,2.65977132,2
1147,17,Female,Asian,Some College,9.647124172,1,Yes,Moderate,Yes,No,No,Yes,3.58888794,0
1148,17,Male,Asian,High School,14.05732888,11,No,High,No,Yes,No,No,2.314587628,3
1149,15,Male,African American,Higher,1.360204639,22,No,Low,Yes,Yes,No,Yes,1.00722582,4
1150,18,Male,Asian,Some College,3.8757826,5,No,High,Yes,No,No,No,2.881612321,2
1151,17,Male,Asian,Some College,4.291296402,1,No,Low,No,Yes,Yes,No,2.804504929,2
1152,17,Female,African American,High School,14.7630151,20,Yes,High,No,Yes,No,No,1.762921124,4
1153,15,Female,Caucasian,Bachelor's,3.782773927,22,No,Very High,Yes,No,No,Yes,1.119911263,4
1154,17,Male,Caucasian,Some College,11.46983528,23,No,Moderate,No,No,No,No,1.030657506,4
1155,15,Female,Caucasian,Some College,4.30487641,2,No,Moderate,Yes,No,No,No,3.075619354,1
1156,16,Male,Caucasian,Bachelor's,17.232499,16,Yes,High,Yes,Yes,No,No,2.631434065,2
1157,17,Female,Caucasian,High School,18.84370909,28,No,None,No,Yes,Yes,Yes,0.503066907,4
1158,16,Male,Caucasian,Some College,10.3698595,6,No,Moderate,No,No,No,No,2.784237837,2
1159,15,Female,Caucasian,Bachelor's,7.046177684,28,No,Moderate,No,No,No,No,0.247626765,4
1160,18,Male,Caucasian,High School,4.6811555,20,No,High,No,No,No,Yes,1.18954877,4
1161,17,Male,Asian,Some College,0.99562003,4,Yes,High,Yes,No,No,Yes,3.375994009,1
1162,15,Female,Other,Bachelor's,5.370001524,22,Yes,High,No,No,No,No,1.293573556,4
1163,18,Male,Caucasian,Some College,13.0847156,0,Yes,High,No,No,Yes,Yes,3.718586904,0
1164,18,Female,Other,Some College,10.67233863,7,No,High,Yes,No,No,No,2.670559615,2
1165,16,Female,African American,Bachelor's,18.88082557,11,Yes,Moderate,Yes,No,No,No,2.369648013,3
1166,15,Male,Caucasian,Bachelor's,7.92554525,13,No,Moderate,No,Yes,No,No,1.62448682,4
1167,18,Female,Caucasian,High School,13.87726685,15,Yes,Moderate,Yes,Yes,No,No,2.537476828,2
1168,17,Female,African American,None,9.78645495,9,No,Very High,No,Yes,No,No,2.298417929,3
1169,17,Female,Asian,Some College,10.25152432,14,No,High,Yes,No,No,No,2.25980415,3
1170,16,Female,Asian,Some College,5.355486292,20,No,Moderate,No,Yes,No,No,1.321343301,4
1171,18,Female,Caucasian,Some College,9.099015537,23,No,High,No,Yes,No,No,0.949974228,4
1172,15,Male,Caucasian,Some College,9.41569994,25,No,Moderate,Yes,No,No,Yes,0.818786616,4
1173,17,Female,Caucasian,High School,14.13285043,14,Yes,High,No,No,No,No,2.339224513,3
1174,18,Female,Caucasian,Some College,18.81279998,9,No,Moderate,No,Yes,No,No,2.682776288,2
1175,18,Female,Caucasian,High School,6.58642555,20,Yes,Low,Yes,No,No,No,1.543837471,4
1176,16,Female,Caucasian,Some College,0.844009372,27,No,High,Yes,No,No,No,0.196901105,4
1177,17,Female,Asian,Some College,9.92590251,6,No,High,No,No,No,No,2.748610257,2
1178,17,Male,Other,High School,10.88922664,25,Yes,Moderate,Yes,No,Yes,No,1.104893788,4
1179,15,Female,Caucasian,High School,3.368811023,2,No,Moderate,Yes,No,No,No,2.553439811,2
1180,17,Male,Other,Some College,15.20929213,1,No,High,Yes,No,No,Yes,3.274233459,1
1181,15,Male,Caucasian,Some College,19.69858217,5,Yes,High,No,No,No,No,3.186060378,1
1182,17,Male,Caucasian,High School,18.91549434,20,No,High,Yes,No,No,No,1.72211575,4
1183,16,Male,Caucasian,Higher,3.942120776,8,No,Moderate,Yes,Yes,No,No,2.338046358,3
1184,17,Female,African American,Some College,17.5072648,9,Yes,Very High,Yes,Yes,No,No,3.273998748,1
1185,15,Male,Other,Higher,14.08987273,3,No,High,No,No,No,No,2.993502391,2
1186,15,Male,African American,Some College,9.076931276,26,Yes,High,Yes,No,No,No,0.896397899,4
1187,16,Female,Caucasian,Some College,10.81221989,2,No,High,No,No,No,No,2.961055259,2
1188,17,Female,African American,Bachelor's,16.9920035,8,No,Low,Yes,No,No,No,2.674351095,2
1189,17,Female,Caucasian,Some College,9.602698793,23,No,None,Yes,Yes,No,No,1.217873151,4
1190,16,Male,Asian,Some College,7.464147382,21,Yes,High,No,No,No,No,1.36559111,4
1191,17,Female,African American,High School,9.864949861,16,No,Moderate,No,No,No,Yes,1.522274845,4
1192,17,Female,Caucasian,Some College,11.58259608,13,Yes,High,No,No,No,No,2.231402397,3
1193,15,Male,African American,High School,3.781553076,9,No,Moderate,Yes,No,No,No,2.135266355,3
1194,17,Female,African American,High School,18.01815461,12,No,Moderate,No,No,No,No,2.255698915,3
1195,17,Female,Caucasian,None,13.48373898,11,Yes,Low,Yes,No,Yes,No,2.751145788,2
1196,16,Female,African American,None,12.66537835,26,No,High,Yes,Yes,No,No,0.897634159,4
1197,16,Female,Caucasian,Higher,1.989924524,0,No,Low,Yes,No,No,Yes,3.117354435,1
1198,18,Male,Asian,High School,12.08347876,27,No,High,Yes,No,Yes,No,1.287595131,4
1199,15,Female,Asian,Some College,2.419213245,21,No,Moderate,No,No,No,No,0.571053098,4
1200,17,Female,Asian,Bachelor's,1.573953504,28,No,High,Yes,No,No,No,0.581355799,4
1201,17,Male,African American,Some College,10.54621791,18,No,Low,No,No,Yes,No,1.643462404,4
1202,18,Female,African American,High School,8.055710681,18,No,Low,No,No,No,No,1.234844041,4
1203,17,Male,Caucasian,Some College,11.7762054,5,No,High,No,Yes,No,Yes,2.96809362,2
1204,15,Female,Asian,Some College,1.784443361,12,No,Moderate,Yes,No,No,No,2.00929848,3
1205,18,Male,Caucasian,Some College,8.619661257,18,No,Low,Yes,No,No,No,1.146086034,4
1206,15,Male,Caucasian,Some College,3.495734301,12,Yes,Very High,No,No,No,No,2.192363198,3
1207,18,Male,Caucasian,Higher,19.74200172,26,Yes,Low,Yes,No,No,No,0.945730873,4
1208,18,Male,Caucasian,Some College,11.22300425,25,No,Moderate,Yes,No,No,No,0.567250028,4
1209,16,Female,African American,High School,13.74873722,21,No,Low,No,No,No,No,0.970764347,4
1210,15,Male,Caucasian,Some College,6.508365614,20,Yes,Moderate,Yes,No,Yes,Yes,1.656060126,4
1211,17,Female,Asian,None,1.894778296,3,No,Moderate,No,No,Yes,No,2.839313249,2
1212,17,Male,Caucasian,Bachelor's,19.51741726,23,No,Low,No,No,Yes,Yes,0.18981806,4
1213,15,Male,Caucasian,High School,5.725180708,1,No,High,Yes,No,No,No,3.258294685,1
1214,17,Male,African American,High School,8.476163703,14,Yes,Moderate,No,No,No,No,1.920055853,4
1215,17,Female,Caucasian,Bachelor's,12.99727843,11,No,High,No,No,No,No,2.021771494,3
1216,15,Male,Caucasian,Some College,0.493945954,29,Yes,Low,Yes,No,No,No,0.125933075,4
1217,18,Female,Asian,High School,16.20518261,26,Yes,Moderate,Yes,No,No,No,1.287013412,4
1218,15,Female,Caucasian,Some College,10.7315638,6,No,None,Yes,No,Yes,No,2.591426703,2
1219,18,Female,Asian,Bachelor's,5.564343741,19,Yes,High,No,No,No,No,1.463379649,4
1220,17,Female,Caucasian,High School,1.232159706,17,No,High,No,No,No,No,1.465549386,4
1221,17,Female,Caucasian,Bachelor's,3.249968309,22,No,High,Yes,Yes,No,Yes,1.710466838,4
1222,17,Female,Asian,None,17.90067718,12,No,Moderate,No,Yes,No,Yes,2.288505685,3
1223,16,Female,Caucasian,Some College,13.72048448,16,No,High,No,No,Yes,No,1.960968849,4
1224,18,Female,Caucasian,Bachelor's,4.998034433,3,No,High,No,No,No,No,2.621623326,2
1225,16,Female,Caucasian,High School,1.312015299,24,No,None,Yes,No,No,No,0.768316386,4
1226,16,Male,Caucasian,Some College,13.81230625,13,No,Low,No,No,Yes,No,1.806406345,4
1227,15,Male,Asian,High School,11.44815452,19,No,Moderate,No,No,No,No,0.881866353,4
1228,16,Male,Caucasian,Some College,8.090390489,27,No,High,No,Yes,No,No,0.817068221,4
1229,15,Male,Asian,Some College,7.272228984,12,Yes,None,No,No,No,No,1.446132528,4
1230,15,Male,Asian,Some College,4.336285519,2,No,High,No,Yes,No,No,3.339094362,1
1231,16,Female,Caucasian,High School,13.39222513,25,No,Moderate,No,No,No,No,0.819625478,4
1232,18,Female,Other,High School,19.41336056,25,No,Moderate,No,No,No,No,0.676817973,4
1233,18,Female,Caucasian,None,3.514304917,17,No,Low,No,Yes,No,Yes,1.389544874,4
1234,18,Female,Other,High School,11.9423324,13,No,Moderate,No,Yes,No,Yes,1.991508414,4
1235,18,Female,Caucasian,Some College,8.483701115,14,No,None,No,Yes,No,No,1.63986755,4
1236,18,Female,African American,Bachelor's,8.933774435,2,No,None,No,Yes,No,No,2.511743021,2
1237,16,Female,Caucasian,Some College,5.082945603,0,No,High,No,No,Yes,No,2.98391995,2
1238,16,Male,Caucasian,Some College,16.50269751,25,Yes,Moderate,No,No,Yes,No,1.258654854,4
1239,17,Male,African American,Higher,9.705112083,23,Yes,Moderate,No,No,No,No,1.417929927,4
1240,18,Male,Asian,Some College,10.86811704,16,No,Low,Yes,No,Yes,No,1.597016572,4
1241,16,Male,Caucasian,Bachelor's,6.095218256,2,Yes,Moderate,No,Yes,No,No,3.088699868,1
1242,17,Female,Caucasian,Some College,3.636169313,13,No,None,Yes,Yes,No,No,1.641341443,4
1243,18,Female,Asian,High School,1.718207764,2,No,Moderate,No,Yes,No,No,2.586870656,2
1244,15,Female,African American,None,14.28238282,12,Yes,Moderate,No,No,No,No,2.389032645,3
1245,17,Male,Other,Some College,3.924685634,14,No,Moderate,Yes,No,No,No,1.8981464,4
1246,16,Female,Asian,High School,13.80150708,17,No,Very High,No,Yes,No,No,2.110487975,3
1247,15,Female,Other,High School,7.807528921,13,No,Moderate,No,No,No,No,1.700273589,4
1248,15,Female,Asian,Some College,8.31549602,20,No,Moderate,Yes,No,No,No,1.044499995,4
1249,15,Male,Caucasian,Some College,9.383549922,25,No,Moderate,No,Yes,No,No,1.194166134,4
1250,17,Female,Caucasian,Some College,7.354170163,2,No,Low,No,No,Yes,No,2.649136828,2
1251,16,Male,Asian,High School,2.012399544,18,No,High,No,Yes,No,No,1.234141389,4
1252,15,Male,African American,High School,6.1926362,7,No,Moderate,Yes,No,No,No,2.127408866,3
1253,18,Male,Caucasian,Some College,13.27468721,3,Yes,Low,Yes,No,No,No,2.913887649,2
1254,15,Male,Caucasian,Higher,13.31568803,3,No,High,No,No,No,Yes,3.119393913,1
1255,15,Female,Other,Some College,5.724486145,18,Yes,None,No,No,No,No,1.036378738,4
1256,17,Male,African American,Bachelor's,9.202052531,10,No,Very High,Yes,No,No,Yes,2.403284547,3
1257,17,Male,Caucasian,Some College,3.86894456,0,Yes,High,No,No,No,No,3.156508064,1
1258,16,Female,Caucasian,Some College,4.207441631,7,Yes,Moderate,No,Yes,Yes,No,2.723471859,2
1259,18,Female,Caucasian,High School,0.460941768,14,No,Low,Yes,Yes,No,No,1.530951146,4
1260,17,Male,Caucasian,Some College,17.934931,0,No,Low,No,No,No,No,3.468581349,1
1261,15,Female,Caucasian,Some College,4.214133301,6,No,Low,Yes,No,No,No,2.302032044,3
1262,16,Male,Caucasian,Some College,4.550677539,20,Yes,Low,Yes,No,No,No,1.265677909,4
1263,15,Male,Asian,Some College,5.592028653,19,No,Moderate,Yes,Yes,No,Yes,1.479602228,4
1264,15,Male,Caucasian,Some College,2.548161434,19,No,Very High,No,No,Yes,Yes,1.445076719,4
1265,17,Male,Asian,High School,12.78525766,23,No,Moderate,No,No,No,No,0.80943381,4
1266,16,Female,Asian,Some College,1.502859064,10,Yes,High,No,No,No,No,2.15023327,3
1267,18,Male,Caucasian,High School,2.684048527,26,No,High,No,No,No,No,0.559143716,4
1268,18,Female,African American,Bachelor's,12.89513453,28,No,High,No,No,No,No,0.580788485,4
1269,17,Female,Caucasian,High School,6.79321241,13,No,None,No,Yes,Yes,Yes,1.602089196,4
1270,17,Female,Asian,None,14.15895653,21,Yes,Moderate,No,Yes,No,No,1.002798364,4
1271,16,Female,Caucasian,Some College,11.14849489,15,No,High,No,No,No,No,1.663063453,4
1272,18,Male,African American,Some College,5.120423461,13,No,High,No,No,No,Yes,1.53154646,4
1273,18,Female,African American,Some College,13.01655901,11,No,Very High,No,No,No,No,2.205842147,3
1274,18,Male,Caucasian,High School,2.325473606,16,No,High,No,No,No,Yes,1.155338561,4
1275,15,Female,Caucasian,Some College,10.72820766,13,Yes,Low,No,No,No,No,2.15375834,3
1276,18,Female,African American,High School,8.742962101,9,No,Moderate,Yes,No,No,Yes,2.592786686,2
1277,15,Male,Asian,Bachelor's,5.357471656,23,No,None,Yes,Yes,No,No,0.912330507,4
1278,16,Male,Caucasian,Bachelor's,12.08009995,28,Yes,High,No,No,No,No,0.695630933,4
1279,15,Male,African American,Some College,17.42667185,13,Yes,Moderate,No,No,No,No,2.139619891,3
1280,16,Female,Caucasian,High School,19.978094,17,No,High,No,No,No,No,1.550449331,4
1281,18,Female,Asian,Some College,12.15525537,21,No,Very High,No,No,No,Yes,1.5475367,4
1282,18,Male,Caucasian,None,8.094117487,8,Yes,High,No,No,Yes,No,2.966548034,2
1283,16,Male,Asian,Some College,4.504142004,16,No,Moderate,Yes,No,No,Yes,1.633679371,4
1284,17,Male,Caucasian,High School,5.141921788,5,Yes,Low,No,No,No,No,2.33254032,3
